Priority,State,County,Action,Phone,Email,Website,Instructions,Status,Notes,Date Completed
MEDIUM,AK,Juneau Borough,EMAIL_FOIA,(907) 586-5215,assessor.office@juneau.gov,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor/TaxJurisdictions.aspx,"Send FOIA email requesting current excess proceeds/surplus funds list for Juneau Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AK,Kenai Peninsula Borough,EMAIL_FOIA,(907) 714-2230,assessing@kpb.us,https://www.kpb.us/departments/assessing-department/assessing-contact,"Send FOIA email requesting current excess proceeds/surplus funds list for Kenai Peninsula Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AK,Ketchikan Gateway Borough,EMAIL_FOIA,(907) 228-6620,awilcox@kpd.us,https://www.kgbak.us/directory.aspx?did=8,"Send FOIA email requesting current excess proceeds/surplus funds list for Ketchikan Gateway Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AK,Kodiak Island Borough,EMAIL_FOIA,(907) 486-9353,sgaroutte@kodiakak.us,https://www.kodiakak.us/69/Assessing,"Send FOIA email requesting current excess proceeds/surplus funds list for Kodiak Island Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AK,Kusivak,EMAIL_FOIA,(907) 459-1428,sgaroutte@kodiakak.us,https://fnsb.gov/Faq.aspx?QID=85,"Send FOIA email requesting current excess proceeds/surplus funds list for Kusivak, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Lake and Peninsula Borough,EMAIL_FOIA,(907) 246-3421,taxquestions@kpb.us,https://www.kpb.us/departments/property-tax/property-tax-contact,"Send FOIA email requesting current excess proceeds/surplus funds list for Lake and Peninsula Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Matanuska-Susitna Borough,EMAIL_FOIA,(907) 861-8610,collections@matsugov.us,https://matsugov.us/contacts,"Send FOIA email requesting current excess proceeds/surplus funds list for Matanuska-Susitna Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Nome Census Area,EMAIL_FOIA,(907) 443-6663,Taxrequest@nomealaska.org,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor/TaxJurisdictions.aspx,"Send FOIA email requesting current excess proceeds/surplus funds list for Nome Census Area, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,North Slope Borough,EMAIL_FOIA,(907) 852-2611,krista.king@matsugov.us,https://www.commerce.alaska.gov/web/dcra/LocalGovernmentResourceDesk/,"Send FOIA email requesting current excess proceeds/surplus funds list for North Slope Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Northwest Arctic Borough,EMAIL_FOIA,(907) 442-2500,sgaroutte@kodiakak.us,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor/TaxJurisdictions.aspx,"Send FOIA email requesting current excess proceeds/surplus funds list for Northwest Arctic Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Petersburg,EMAIL_FOIA,(907) 772-4425,acaulum@petersburgak.gov,https://www.petersburgak.gov/finance/custom-contact-page/finance-contact-information,"Send FOIA email requesting current excess proceeds/surplus funds list for Petersburg, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Prince of Wales-Hyder,EMAIL_FOIA,(907) 826-3275,sgaroutte@kodiakak.us,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor,"Send FOIA email requesting current excess proceeds/surplus funds list for Prince of Wales-Hyder, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Sitka Borough,EMAIL_FOIA,(907) 747-1822,sgaroutte@kodiakak.us,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor/TaxJurisdictions.aspx,"Send FOIA email requesting current excess proceeds/surplus funds list for Sitka Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Skagway,EMAIL_FOIA,(907) 983-2297,s.anderson@skagway.org,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor/TaxJurisdictions.aspx,"Send FOIA email requesting current excess proceeds/surplus funds list for Skagway, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Southeast Fairbanks Census Area,EMAIL_FOIA,(907) 459-1428,sgaroutte@kodiakak.us,https://alaska.propertychecker.com/southeast-fairbanks-census-area-county,"Send FOIA email requesting current excess proceeds/surplus funds list for Southeast Fairbanks Census Area, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Valdez-Cordova Census Area,EMAIL_FOIA,(907) 269-1029,james.greeley@alaska.gov,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor/TaxJurisdictions.aspx,"Send FOIA email requesting current excess proceeds/surplus funds list for Valdez-Cordova Census Area, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Wrangell,EMAIL_FOIA,(907) 874-2381,sales.tax.office@juneau.gov,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor/TaxJurisdictions.aspx,"Send FOIA email requesting current excess proceeds/surplus funds list for Wrangell, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Yakutat Borough,EMAIL_FOIA,(907) 784-3323,clerk@yakutatak.us,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor/TaxJurisdictions.aspx,"Send FOIA email requesting current excess proceeds/surplus funds list for Yakutat Borough, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AK,Yukon-Koyukuk Census Area,EMAIL_FOIA,(907) 662-2477,sgaroutte@kodiakak.us,https://www.citydirectory.us/census-area-yukon-koyukuk.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Yukon-Koyukuk Census Area, Alaska. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
HIGH,AL,Autauga,PHONE_REQUEST,(334) 358-6750,,https://www.countyoffice.org/autauga-county-revenue-commissioners-office-prattville-al-1b7,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
HIGH,AL,Baldwin,EMAIL_FOIA,(251) 937-0245,RevenueCommissioner@baldwincountyal.gov,https://baldwincountyal.gov/government/revenue-commission/contact-us,"Send FOIA email requesting current excess proceeds/surplus funds list for Baldwin, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
HIGH,AL,Barbour,PHONE_REQUEST,(334) 687-7639,,https://www.tax-rates.org/alabama/property-tax/barbour-county-assessor,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
HIGH,AL,Bibb,PHONE_REQUEST,(205) 926-3105,,https://www.maconbibbtax.us,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
HIGH,AL,Blount,EMAIL_FOIA,(205) 973-0285,garmstrong@blountcountyal.gov,https://blountcountyal.gov/government/staff-directory,"Send FOIA email requesting current excess proceeds/surplus funds list for Blount, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AL,Bullock,EMAIL_FOIA,(334) 738-2888,onespot@revenue.alabama.gov,https://www.revenue.alabama.gov/property-tax/county-offices-appraisal-assessment-records,"Send FOIA email requesting current excess proceeds/surplus funds list for Bullock, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AL,Butler,PHONE_REQUEST,(334) 382-3221,,https://alabamacountyoffices.com/butler/treasurer-tax-collector-offices,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
MEDIUM,AL,Calhoun,EMAIL_FOIA,(256) 241-2840,onespot@revenue.alabama.gov,https://www.calhouncounty.org/revenue,"Send FOIA email requesting current excess proceeds/surplus funds list for Calhoun, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AL,Chambers,EMAIL_FOIA,(334) 864-4390,Beth.Abney@ChambersCountyAL.gov,https://www.chamberscountyrevenue.com/Default.asp?ID=312&pg=Contact+Us,"Send FOIA email requesting current excess proceeds/surplus funds list for Chambers, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AL,Cherokee,EMAIL_FOIA,(256) 927-5527,dustinstclair@cherokeecounty-al.gov,https://cherokeecounty-al.gov/revenue-commission,"Send FOIA email requesting current excess proceeds/surplus funds list for Cherokee, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AL,Chilton,EMAIL_FOIA,(205) 755-1249,revenuecommissioner@chiltoncounty.org,https://www.chiltoncountyrevenue.com/Default.asp?ID=344&pg=Contact+Us,"Send FOIA email requesting current excess proceeds/surplus funds list for Chilton, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AL,Choctaw,EMAIL_FOIA,(580) 326-6142,choctawcotreasurer16@yahoo.com,https://oktaxrolls.com/county/choctaw,"Send FOIA email requesting current excess proceeds/surplus funds list for Choctaw, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AL,Clarke,EMAIL_FOIA,(251) 275-3376,montana.prescott@yahoo.com,https://clarkecountyal.com/revenue-commissioner-clarke-co,"Send FOIA email requesting current excess proceeds/surplus funds list for Clarke, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
MEDIUM,AL,Clay,PHONE_REQUEST,(251) 344-4737,,https://www.claycountytax.com/about_us/contact_information.php,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
MEDIUM,AL,Cleburne,EMAIL_FOIA,(256) 463-2873,jfuller@cleburnecounty.us,https://cleburnecountyal.com/revenue-commission,"Send FOIA email requesting current excess proceeds/surplus funds list for Cleburne, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Coffee,PHONE_REQUEST,(334) 894-5556,,https://www.coffeecountyrevenue.com,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,AL,Colbert,EMAIL_FOIA,(256) 386-8530,onespot@revenue.alabama.gov,https://alabamacountyoffices.com/colbert/treasurer-tax-collector-offices,"Send FOIA email requesting current excess proceeds/surplus funds list for Colbert, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Conecuh,EMAIL_FOIA,(251) 578-1890,onespot@revenue.alabama.gov,https://www.revenue.alabama.gov/faqs/i-am-over-65-do-i-have-to-pay-property-taxes,"Send FOIA email requesting current excess proceeds/surplus funds list for Conecuh, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Coosa,EMAIL_FOIA,(256) 377-4916,debralamberth13@gmail.com,https://www.coosacountyal.com/revenue-commissioner,"Send FOIA email requesting current excess proceeds/surplus funds list for Coosa, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Covington,EMAIL_FOIA,(334) 428-2546,chuck.patterson@covcounty.com,https://www.covingtoncountyal.gov/254/Revenue-Commissioner---George-Chuck-Patt,"Send FOIA email requesting current excess proceeds/surplus funds list for Covington, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Crenshaw,EMAIL_FOIA,(334) 335-6568,onespot@revenue.alabama.gov,https://www.crenshawcountyalonline.com/taxes.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Crenshaw, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Cullman,EMAIL_FOIA,(256) 775-4776,revenue@co.cullman.al.us,https://cullmanproperty.countygovservices.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Cullman, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Dale,EMAIL_FOIA,(334) 774-2226,sheila.waller@dalecountyal.gov,https://www.dalecountyrevenue.com/Default.asp?ID=312&pg=Contact+Us,"Send FOIA email requesting current excess proceeds/surplus funds list for Dale, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Dallas,EMAIL_FOIA,(214) 653-7321,propertytax@dallascounty.org,https://www.dallascounty.org/departments/treasurer,"Send FOIA email requesting current excess proceeds/surplus funds list for Dallas, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,DeKalb,EMAIL_FOIA,(866) 576-6531,onespot@revenue.alabama.gov,https://www.revenue.alabama.gov/sales-use/contact-information-for-self-administered-localities,"Send FOIA email requesting current excess proceeds/surplus funds list for DeKalb, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Elmore,EMAIL_FOIA,(334) 567-1184,support@avenuinsights.com,https://www.revenue.alabama.gov/sales-use/contact-information-for-self-administered-localities,"Send FOIA email requesting current excess proceeds/surplus funds list for Elmore, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Escambia,EMAIL_FOIA,(251) 867-0300,ectc@EscambiaTaxCollector.com,https://countyinfo.hoursguide.com/brewton-al-treasurer-tax-collector-office-127006,"Send FOIA email requesting current excess proceeds/surplus funds list for Escambia, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Etowah,PHONE_REQUEST,(256) 549-5481,,https://www.countyoffice.org/etowah-county-revenue-commissioners-office-gadsden-al-a50,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,AL,Fayette,PHONE_REQUEST,(205) 932-6081,,https://www.countyoffice.org/fayette-county-revenue-commissioners-office-fayette-al-933,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,AL,Franklin,EMAIL_FOIA,(256) 332-8833,onespot@revenue.alabama.gov,https://franklincountyrevenue.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Franklin, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Geneva,EMAIL_FOIA,(334) 684-5650,info@genevacountyal.gov,https://genevacountyal.gov/revenue,"Send FOIA email requesting current excess proceeds/surplus funds list for Geneva, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Greene,EMAIL_FOIA,(205) 372-6908,onespot@revenue.alabama.gov,https://greenecountycommission.com/directory,"Send FOIA email requesting current excess proceeds/surplus funds list for Greene, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Hale,EMAIL_FOIA,(800) 556-7274,onespot@revenue.alabama.gov,https://www.halecountyal.gov/tax-collector,"Send FOIA email requesting current excess proceeds/surplus funds list for Hale, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Henry,PHONE_REQUEST,(334) 585-3043,,https://www.henrycountyal.com,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,AL,Houston,EMAIL_FOIA,(334) 677-4715,jeculpepper@houstoncountyal.gov,https://houstoncountyal.gov/revenue,"Send FOIA email requesting current excess proceeds/surplus funds list for Houston, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Jackson,PHONE_REQUEST,(850) 482-9653,,https://www.jacksoncountytaxcollector.com,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,AL,Jefferson,EMAIL_FOIA,(205) 325-5500,brownbo@jccal.org,https://treasury.alabama.gov/contact-us,"Send FOIA email requesting current excess proceeds/surplus funds list for Jefferson, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Lamar,EMAIL_FOIA,(205) 695-9139,onespot@revenue.alabama.gov,https://lamarcountyal.gov/revenue,"Send FOIA email requesting current excess proceeds/surplus funds list for Lamar, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Lauderdale,EMAIL_FOIA,(601) 482-9786,dspidle@lauderdalecounty.org,https://www.lauderdalecounty.org/county-departments/tax-collector,"Send FOIA email requesting current excess proceeds/surplus funds list for Lauderdale, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Lawrence,EMAIL_FOIA,(256) 974-2473,onespot@revenue.alabama.gov,https://lawrencecountyrevenue.com/template_home.mobile.html,"Send FOIA email requesting current excess proceeds/surplus funds list for Lawrence, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Lee,PHONE_REQUEST,(334) 737-3655,,https://www.leecountyrevenuecommissioner.com/Default.asp?ID=312&pg=Contact+Us,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,AL,Limestone,PHONE_REQUEST,(256) 233-6433,,https://www.limestonecounty-al.gov/Departments/Revenue-Commission,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,AL,Lowndes,EMAIL_FOIA,(334) 548-2175,onespot@revenue.alabama.gov,https://www.lowndes-al.gov/government/departments/tax_collectors_office.php,"Send FOIA email requesting current excess proceeds/surplus funds list for Lowndes, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Macon,EMAIL_FOIA,(334) 724-2603,gandy.revenuecommissioner@gmail.com,https://maconcountyal.com/revenue-commissioner,"Send FOIA email requesting current excess proceeds/surplus funds list for Macon, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Madison,EMAIL_FOIA,(256) 532-3300,kcaputo@madisoncountyal.gov,https://www.madisoncountyal.gov/departments/tax-collector,"Send FOIA email requesting current excess proceeds/surplus funds list for Madison, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Marengo,EMAIL_FOIA,(334) 295-2214,beth.abney@chamberscountyal.gov,https://www.marengocountyal.com/Default.asp?ID=76&pg=Revenue,"Send FOIA email requesting current excess proceeds/surplus funds list for Marengo, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Marion,EMAIL_FOIA,(352) 368-8200,onespot@revenue.alabama.gov,https://www.countyoffice.org/marion-county-tax-collectors-office-hamilton-al-8eb,"Send FOIA email requesting current excess proceeds/surplus funds list for Marion, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Marshall,EMAIL_FOIA,(256) 571-7743,revenue@marshallco.org,https://www.ownwell.com/trends/alabama/marshall-county,"Send FOIA email requesting current excess proceeds/surplus funds list for Marshall, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Mobile,PHONE_REQUEST,(251) 574-8585,,https://www.countyoffice.org/mobile-county-treasurer-mobile-al-7b5,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,AL,Monroe,EMAIL_FOIA,(251) 575-3400,robert.stewart@alsenate.gov,https://www.revenue.alabama.gov/faqs/i-am-over-65-do-i-have-to-pay-property-taxes,"Send FOIA email requesting current excess proceeds/surplus funds list for Monroe, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Montgomery,EMAIL_FOIA,(334) 832-1250,montgomery.treasurer@montgomeryal.gov,https://treasury.alabama.gov/contact-us,"Send FOIA email requesting current excess proceeds/surplus funds list for Montgomery, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Morgan,EMAIL_FOIA,(256) 351-4690,support@avenuinsights.com,https://www.morgancountyrevenue.com/contact-us,"Send FOIA email requesting current excess proceeds/surplus funds list for Morgan, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Perry,EMAIL_FOIA,(740) 342-1235,treasurer@perrycountyohio.net,https://www.perrycountyal.gov/government/revenue-commissioner-67,"Send FOIA email requesting current excess proceeds/surplus funds list for Perry, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Pickens,EMAIL_FOIA,(205) 367-2040,onespot@revenue.alabama.gov,https://www.revenue.alabama.gov/sales-use/contact-information-for-self-administered-localities,"Send FOIA email requesting current excess proceeds/surplus funds list for Pickens, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Pike,EMAIL_FOIA,(334) 566-1792,mmosleypikerevenue@yahoo.com,https://treasurer.pikecounty63.us,"Send FOIA email requesting current excess proceeds/surplus funds list for Pike, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Randolph,EMAIL_FOIA,(844) 342-6555,mlee@randolphcounty-mo.gov,https://www.randolphcountycollector.com,"Send FOIA email requesting current excess proceeds/surplus funds list for Randolph, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Russell,EMAIL_FOIA,(334) 298-6922,rcountypropertytax@rcrcproperty.com,https://www.russellcountyal.gov/contact_us/index.php,"Send FOIA email requesting current excess proceeds/surplus funds list for Russell, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Shelby,PHONE_REQUEST,(205) 670-6900,,https://al-shelbycounty.civicplus.com/contactus,Call county office and request excess proceeds list. Ask: 1) Do you have an excess proceeds or surplus funds list? 2) Can you email it to claim@usforeclosurerecovery.com? 3) Is it available online?,NOT STARTED,,
LOW,AL,St. Clair,EMAIL_FOIA,(205) 338-9461,revenue@stclairco.com,https://www.revenue.alabama.gov/sales-use/contact-information-for-self-administered-localities,"Send FOIA email requesting current excess proceeds/surplus funds list for St. Clair, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Sumter,EMAIL_FOIA,(205) 652-2251,taxcollectorsc@yahoo.com,https://sumtercountyal.com/tax-collector,"Send FOIA email requesting current excess proceeds/surplus funds list for Sumter, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Talladega,EMAIL_FOIA,(256) 761-2123,cindy.pennington@talladegacountyal.org,https://www.talladegacountyal.org/departments/revenue_commission_-_new/contact_us.php,"Send FOIA email requesting current excess proceeds/surplus funds list for Talladega, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
LOW,AL,Tallapoosa,EMAIL_FOIA,(256) 825-7818,emiddlebrooks@tallaco.com,https://www.revenue.alabama.gov/sales-use/contact-information-for-self-administered-localities,"Send FOIA email requesting current excess proceeds/surplus funds list for Tallapoosa, Alabama. Ask for Excel/PDF format. Template in county_email_outreach.py.",NOT STARTED,,
